name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Tangerang,2023-04-01T00:00:00,26,26,25,94.23,0,0,,0,0,21.6,7.6,260,1010,27.7,6,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-04-01T01:00:00,25.6,25.6,22.8,84.9,0.036,100,rain,0,0,16.2,12.5,246,1009.3,49.1,6.1,0,0,0,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-04-01T02:00:00,25,25,24,94.19,0,0,,0,0,18,11.2,260,1008,27.7,6,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-04-01T03:00:00,25,25,23,88.68,0,0,,0,0,20.9,13,230,1008,27.7,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,96749099999"
Tangerang,2023-04-01T04:00:00,25.2,25.2,23.1,88.07,0.027,100,rain,0,0,19.8,7,244,1008.6,49.1,8.7,0,0,0,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-04-01T05:00:00,25,25,23,88.68,0,0,,0,0,19.1,12.8,251,1009,27.7,8.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T06:00:00,25.1,25.1,23,88.46,0,0,,0,0,18,12.8,250,1010,28.6,9.8,0,0,0,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T07:00:00,25.8,25.8,23.8,88.94,0.161,100,rain,0,0,24.1,11.5,239,1011.2,62.7,7.9,20,0.1,0,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-04-01T08:00:00,25.1,25.1,24,93.72,0,0,,0,0,25.9,31,298,1011,87.4,5,149,0.5,1,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T09:00:00,25,25,25,99.75,0,0,,0,0,30.6,15.4,250,1012,51.6,4.9,185,0.7,2,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T10:00:00,25.7,25.7,23.8,88.99,2.286,100,rain,0,0,35.6,18.7,235,1011.6,74.6,7.2,220,0.8,2,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-04-01T11:00:00,27.1,30.8,24.9,87.95,0,0,,0,0,38.9,18.8,250,1011,50,5,224,0.8,2,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T12:00:00,28.1,32.1,24,78.53,0,0,,0,0,41.8,21.8,280,1010,50,7.9,200,0.7,2,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T13:00:00,28.8,32.6,23.1,71.48,0.078,100,rain,0,0,40.7,21.6,279,1009.2,73.4,9.8,140,0.5,1,10,"Rain, Partially cloudy",rain,"96737099999,96741099999,96739099999,WIII,96749099999,96745099999"
Tangerang,2023-04-01T14:00:00,30,36.2,25,74.44,0,0,,0,0,33.5,14.5,251,1008,50,9.9,79,0.3,1,10,Partially cloudy,partly-cloudy-day,"WIII,WIHH,96749099999,96749599999"
Tangerang,2023-04-01T15:00:00,29,33.6,24,74.47,0,0,,0,0,33.5,14.8,240,1008,50,10,60,0.2,1,10,Partially cloudy,partly-cloudy-day,"WIII,96749099999"
